county_code,county_name,county_display,constituency_code,constituency_name,constituency_display,ward_code,ward_name,ward_display,registered_voters_2022
001,MOMBASA,Mombasa,001,CHANGAMWE,Changamwe,0001,PORT REITZ,Port Reitz,17817
001,MOMBASA,Mombasa,001,CHANGAMWE,Changamwe,0002,KIPEVU,Kipevu,16132
001,MOMBASA,Mombasa,001,CHANGAMWE,Changamwe,0003,AIRPORT,Airport,18557
001,MOMBASA,Mombasa,001,CHANGAMWE,Changamwe,0004,CHANGAMWE,Changamwe,18182
001,MOMBASA,Mombasa,001,CHANGAMWE,Changamwe,0005,CHAANI,Chaani,22873
001,MOMBASA,Mombasa,002,JOMVU,Jomvu,0006,JOMVU KUU,Jomvu Kuu,24243
001,MOMBASA,Mombasa,002,JOMVU,Jomvu,0007,MIRITINI,Miritini,18048
001,MOMBASA,Mombasa,002,JOMVU,Jomvu,0008,MIKINDANI,Mikindani,32794
001,MOMBASA,Mombasa,003,KISAUNI,Kisauni,0009,MJAMBERE,Mjambere,22692
001,MOMBASA,Mombasa,003,KISAUNI,Kisauni,0010,JUNDA,Junda,25602
001,MOMBASA,Mombasa,003,KISAUNI,Kisauni,0011,BAMBURI,Bamburi,20470
001,MOMBASA,Mombasa,003,KISAUNI,Kisauni,0012,MWAKIRUNGE,Mwakirunge,6423
001,MOMBASA,Mombasa,003,KISAUNI,Kisauni,0013,MTOPANGA,Mtopanga,19474
001,MOMBASA,Mombasa,003,KISAUNI,Kisauni,0014,MAGOGONI,Magogoni,15105
001,MOMBASA,Mombasa,003,KISAUNI,Kisauni,0015,SHANZU,Shanzu,25510
001,MOMBASA,Mombasa,004,NYALI,Nyali,0016,FRERE TOWN,Frere Town,24849
001,MOMBASA,Mombasa,004,NYALI,Nyali,0017,ZIWA LA NG'OMBE,Ziwa la Ng'ombe,23296
001,MOMBASA,Mombasa,004,NYALI,Nyali,0018,MKOMANI,Mkomani,24154
001,MOMBASA,Mombasa,004,NYALI,Nyali,0019,KONGOWEA,Kongowea,28846
